galaxies.galaxy.bulge.profile_list.59.centre.centre_0,galaxies.galaxy.bulge.profile_list.59.centre.centre_1,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.galaxy.bulge.profile_list.59.ell_comps.ell_comps_0,galaxies.galaxy.bulge.profile_list.59.ell_comps.ell_comps_1,     log_likelihood,           log_prior,      log_posterior,weight
                                 -0.04011358046030718,                                 -0.07168796421163998,                                        0.03532509312620244,                                         0.2197481118358211,                                       -0.18882709157145805,                                        -0.1935739367876708, 2097.5866753509836, 0.46210640532142966,  2098.048781756305,   0.0
                                  0.05810406163199214,                                  0.05476513800775895,                                        -0.3652710804732487,                                         0.1902544911293049,                                         0.5447820394059983,                                       -0.32291567688211126, -5896.316850961245,  -2.026883061822791, -5898.343734023068,   0.0
                                  0.08908014336360043,                                 -0.07714826458567353,                                        -0.3514814220229819,                                         0.4398775325618111,                                       -0.07597682467805546,                                       -0.13974627371202675, 1168.3424832369392, -0.7582785847337095, 1167.5842046522055,   0.0
                                -0.047562612664084306,                                  0.07480402433409267,                                        0.36756417601635194,                                         0.6080723613842495,                                       -0.25267942032244556,                                       -0.24073734259206442,-1224.8964077600822, -2.3378555022795524,-1227.2342632623618,   0.0
                                 -0.03941491220884297,                                -0.003464051103718141,                                       -0.30982093014711165,                                        0.06250479998927623,                                        0.02265442919944857,                                        0.11061728035155981,-1946.8212819969003,  0.5177640148822468, -1946.303517982018,   0.0
                                  -0.0890371467543904,                                 0.016450452527328352,                                       -0.46573514124679855,                                       -0.19476553508436728,                                       -0.07994853390214561,                                       0.029448044925849213, 29.820320330622963,-0.31255001966377216,  29.50777031095919,   0.0
                                -0.009404809946121404,                                 0.010759939263088242,                                        0.11627595306528693,                                       -0.28635732344448556,                                        0.14092516540718183,                                        -0.5426703319509628, -11656.68245770333,  -1.133493433577148,-11657.815951136907,   0.0
                                 -0.04997245800540402,                                  0.08493993919619378,                                        -0.0741666579914859,                                        -0.5297540976719897,                                         0.5933095122596194,                                        0.16408200061749925,  -18316.5784762622, -2.5513132782768047,-18319.129789540475,   0.0
                                   0.0773804206009531,                                -0.058214717981022915,                                      -0.012094953305898567,                                         0.3257168222030127,                                      0.0005144632158975237,                                       0.006738199699428079,-1132.6797732314944,  0.5531076842409054,-1132.1266655472534,   0.0
                                 -0.03757978657458832,                                -0.012016071023034897,                                          0.663983684329959,                                         0.1178984884885939,                                         0.2403512372972575,                                        -0.3005759206711341,-22166.006021038607, -2.2058122259413917,-22168.211833264548,   0.0
                                -0.036610508145138804,                                 -0.05060333897672012,                                        0.13368806014572518,                                       -0.02582760172825321,                                        0.10210649538853324,                                         0.3827949554347379, -7687.968248393395, 0.16858616993934394, -7687.799662223455,   0.0
                                -0.020712013571886817,                               -0.0004612031314535081,                                       -0.09627173913521365,                                       -0.07910219463442698,                                        -0.0920053807146068,                                        0.10695591248034474,  4435.478749492274,  0.9467379171411634,  4436.425487409415,   1.0
                               -0.0058599983089255014,                                  0.04370120848969561,                                       -0.13851075050557948,                                        -0.4216265847713703,                                       -0.25944775610195087,                                        0.14918827168684312, 499.92845165162817,-0.44823164563544127, 499.48022000599275,   0.0
                                 -0.03389732414277723,                                 -0.09993387329073358,                                       -0.45270675961200935,                                       -0.30957225548053335,                                       -0.16533295423150107,                                       -0.38645683833213623,-14821.344549897156, -1.5089970993213502,-14822.853546996477,   0.0
