galaxies.galaxy.bulge.centre.centre_0,galaxies.galaxy.bulge.centre.centre_1,galaxies.galaxy.bulge.ell_comps.ell_comps_0,galaxies.galaxy.bulge.ell_comps.ell_comps_1,galaxies.galaxy.bulge.effective_radius,galaxies.galaxy.bulge.sersic_index,galaxies.galaxy.disk.centre.centre_0,galaxies.galaxy.disk.centre.centre_1,galaxies.galaxy.disk.ell_comps.ell_comps_0,galaxies.galaxy.disk.ell_comps.ell_comps_1,galaxies.galaxy.disk.effective_radius,     log_likelihood,          log_prior,      log_posterior,weight
                  -0.2514688671000425,                   0.5107977011805943,                        -0.2155360192762338,                       -0.09317807800621743,                     5.282607215034521,                  4.08819938377233,                 0.18521793107785525,                 -0.3990558421322401,                       -0.3114306863020893,                      -0.03883652565949363,                   1.0706370835609946,-11486.810770623091,  3.166164662193201,-11483.644605960899,   0.0
                   0.3935108864285349,                   0.3754513492935356,                        0.31693821586212995,                        0.26939399403957826,                     26.12692758765978,                2.2697845553995917,                -0.42502849922605623,                  0.2554346576935287,                        0.4746009404365095,                      -0.21601482844825598,                   21.436156593551512,  -73969.4769145499, 1.6812333043928347, -73967.79568124551,   0.0
                   0.1518865909655777,                 -0.02895884228371787,                        -0.4343614782626373,                       -0.21084633747461395,                    15.502522849873005,                 4.294504267973771,                 -0.5187995854526535,                  0.7874314395462751,                       -0.4396367273115357,                       0.18407647441842495,                   14.347019391505732, -37024.33285170284, 3.6592308221405494,-37020.673620880705,   0.0
                    0.242986503973012,                  0.13805762381648054,                         0.3766737977837229,                        -0.1700397123132903,                    17.251362333259983,                 4.076142257311476,                 0.13407017217787184,                 -0.6006385095797321,                       0.05535617550433734,                          0.33077054680435,                   16.157118767650047, -56763.22915264267,  2.107869176095467, -56761.12128346658,   0.0
                   0.7872135022748435,                  0.27484009021710787,                         0.3007290042570651,                        0.10821068646461941,                    21.924249742780788,                 2.897912813886352,                0.030415446274333166,                 -0.3170538548735052,                      0.059893488979690365,                       0.31727500981969037,                    6.420803850987873, -72352.86206530548,  4.422972546690047,  -72348.4390927588,   0.0
                 -0.22411404344622002,                 -0.04609232846578066,                          0.645713263027104,                         0.0679849187595661,                    1.4281790658226456,                 1.087571417877014,                -0.25397927396307973,                -0.08965995260316817,                      -0.19692864245484104,                      -0.19224273147290644,                   16.426959030099695, -70422.55779435542,-0.9253719555658031,   -70423.483166311,   0.0
                  0.22798721567649477,                 -0.26825277200170156,                        0.13249352860191257,                        0.45940181896028864,                      28.1900742439761,                 1.809470515409689,                 -0.3898591872541977,                 -0.6687243130575962,                       0.14058744145658578,                        0.4266325906820775,                   14.231235975366591, -76486.05792029666, 2.7698785432167274, -76483.28804175345,   0.0
               -0.0018070704345329368,                  0.10362556943451069,                        -0.2537196984143061,                       -0.13412076502758288,                     4.216537423935815,                  4.89155785548274,                -0.06719065266343824,                0.019917221425051906,                       -0.3400600138606859,                      -0.45739736957855076,                   29.269880253891387, -9135.166886911284,-1.0317757817114934, -9136.198662692996,   1.0
                  0.12743012765959114,                   0.4322951433938075,                        -0.5512811933321747,                        0.14457812952650664,                    28.767420229137358,                4.3509960356711215,                 0.33383948231269883,                 0.11094574221903851,                      -0.09088829623113916,                      -0.05114954889480435,                    23.46027432508538, -49383.95447515564,  1.094596250188549, -49382.85987890545,   0.0
                 -0.22341679800326367,                 0.045503359401925396,                        0.19185139805916426,                        0.18049282924732732,                    18.475697633164753,                2.4500398682374613,                -0.23232687410279435,                 -0.2547932175900973,                       -0.3110915730199843,                      0.058272078262061495,                   1.5512484535356474, -30289.69072257447, 1.1509197032424838,-30288.539802871226,   0.0
