ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,multipoles.0.0.multipole_comps.multipole_comps_0,multipoles.0.0.multipole_comps.multipole_comps_1,multipoles.0.1.multipole_comps.multipole_comps_0,multipoles.0.1.multipole_comps.multipole_comps_1,          log_likelihood,         log_prior,           log_posterior,weight
                0.21788432676316,                0.58311383480476,                           -0.041856372127309124,                           -0.060788719559434004,                            -0.12571053235909407,                            0.010562235821492658,-1.0000000000000002e+148,1.0680961542445475,-1.0000000000000002e+148,   0.0
               -0.59926510802391,                0.17418896140365,                             0.08384221500825972,                             0.06232000401713231,                             0.13146798941000995,                             0.09020805887734505,-1.0000000000000002e+147,1.8167313022057834,-1.0000000000000002e+147,   0.0
                0.17613682573892,                0.11930432027811,                             0.07170694594681534,                            -0.02851255263801932,                            0.050345702924350574,                            -0.06514584032901574,-1.0000000000000002e+146,0.6366761035037947,-1.0000000000000002e+146,   0.0
               -0.34421723103101,               -0.09992361668529,                           -0.017044884106540825,                              0.1363064602064111,                             0.07488301005798427,                             0.02571295494769177,-1.0000000000000003e+145,1.2569300207846767,-1.0000000000000003e+145,   0.0
                0.16305583838722,               -0.22970674623873,                             0.05044880138167776,                            -0.05720661992430352,                             0.10104290534688273,                              -0.058532981446574,-1.0000000000000002e+144,0.9726728780987884,-1.0000000000000002e+144,   0.0
               -0.20688649073442,                0.25849977582703,                             0.05858068244751344,                            -0.08460973574536215,                            -0.08635619977327441,                             0.05037264944854973,-1.0000000000000002e+143,1.0292650395332288,-1.0000000000000002e+143,   0.0
                0.29924051264533,                0.29523541090502,                            -0.08995105906372695,                           -0.026749424388674857,                             0.18509208669859772,                            -0.04708812636793511,-1.0000000000000002e+142, 2.264154846754768,-1.0000000000000002e+142,   0.0
                0.31408447006393,               -0.46613917346631,                             0.04643236832214388,                             0.03676862630197105,                            -0.06596219294059341,                              0.1324134397080622,-1.0000000000000002e+141,1.2696113310494959,-1.0000000000000002e+141,   0.0
               -0.21139832159138,                -0.3762653535191,                              -0.095293886987853,                            -0.08359610583124995,                             0.16762848858075857,                           -0.034878782852122966,-1.0000000000000003e+140,2.2692536742259146,-1.0000000000000003e+140,   0.0
                0.17095801609087,                0.23520948554443,                             0.09043092908270828,                            -0.07699557644311965,                             0.07939961288587843,                          -0.0021129730274077304,-1.0000000000000002e+139,   1.0207417454006,-1.0000000000000002e+139,   0.0
