galaxies.galaxy.pixelization.regularization.coefficient,galaxies.galaxy.pixelization.regularization.scale,     log_likelihood,             log_prior,      log_posterior,               weight
                                 1.6458473533956798e-05,                             0.004530664671499397,-1623.5818078018783,      60979.6942610504,  59356.11245324852,                  0.0
                                      73.17595727177859,                                49851.21418382065,-144905.90356585543,  0.013685750409000165,-144905.88988010504,                  0.0
                                   0.004468750817284053,                                2646.651585634219,-143974.76352937118,    223.77656068598597, -143750.9869686852,                  0.0
                                 1.6331597429212398e-06,                              0.02168787483538984,-2361.6491847118787,     612356.0828809706,  609994.4336962587,                  0.0
                                     0.5758867516894856,                           0.00037282809183456395,-1573.3685392906445,     2683.937772379106, 1110.5692330884613,                  0.0
                                 1.6791581894522065e-06,                           0.00022818287152073094, -2352.765551479286,     599918.9551937614,  597566.1896422821,                  0.0
                                    0.13379011416818298,                                   5.249393894988, -66141.87994672667,     7.664891984415948, -66134.21505474225,                  0.0
                                     13319.967951604369,                                6429.471518349807,-144903.36786888004,0.00023060903436325405,  -144903.367638271,                  0.0
                                      313.0314668902225,                               10461.576585903387, -144905.2217797786,  0.003290154905831618, -144905.2184896237,                  0.0
                                     54.320467253061196,                               3288.1029494991967,-144906.03387769122,  0.018713394002600046,-144906.01516429722,                  0.0
                                 1.9003723234956764e-05,                               1.1933539081692004,-14660.555578220707,     52622.10527217509,  37961.54969395438,                  0.0
                                   0.006206200246134181,                             0.001331587999281942, 174.84470472938574,     912.1122241971027, 1086.9569289264884,5.135333520437133e-98
                                     1173.5454723746361,                               1.3535687160781897, -55455.18073026531,    0.7396398788431157, -55454.44109038647,                  0.0
                                  0.0007471773194504468,                           2.4820607548060922e-05,-423.92037083663763,    41627.472824310535, 41203.552453473894,                  0.0
                                 1.8447553315758138e-06,                           0.00045269455815787567,-2322.6850083564777,     544286.3007653299,  541963.6157569734,                  0.0
                                     0.5207428193493537,                               1.4482526916833118, -34853.50497770179,    2.6108209660532515, -34850.89415673574,                  0.0
                                      18423.10591536902,                                 432.832652181598,-144903.20910338595, 0.0023646414053913457,-144903.20673874454,                  0.0
                                     0.9410976657751235,                              0.07094596291158808,-1670.0570695841297,    15.157823695273025,-1654.8992458888567,                  0.0
                                      708183.4270799261,                             0.003869104028242199,-144800.22214544748,    258.45777166083025,-144541.76437378666,                  0.0
                                   0.018758718547302662,                            2.711323847420591e-06, 398.86189905110496,      368876.826603357,  369275.6885024081,                  1.0
