ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,          log_likelihood,log_prior,           log_posterior,weight
                0.51614839159452,                0.20966636386114,-1.0000000000000002e+148,      0.0,-1.0000000000000002e+148,   0.0
                0.00606359759848,               -0.43274568388534,-1.0000000000000002e+147,      0.0,-1.0000000000000002e+147,   0.0
               -0.56718669059817,                0.43487001120566,-1.0000000000000002e+146,      0.0,-1.0000000000000002e+146,   0.0
               -0.48267974272922,               -0.54663386535512,-1.0000000000000003e+145,      0.0,-1.0000000000000003e+145,   0.0
                -0.3366096021841,                0.20520488760913,-1.0000000000000002e+144,      0.0,-1.0000000000000002e+144,   0.0
               -0.02895745090194,                0.40644420232656,-1.0000000000000002e+143,      0.0,-1.0000000000000002e+143,   0.0
                0.01508928447677,               -0.44448082957082,-1.0000000000000002e+142,      0.0,-1.0000000000000002e+142,   0.0
               -0.18175025006477,                0.22679587580506,-1.0000000000000002e+141,      0.0,-1.0000000000000002e+141,   0.0
                0.09446120724631,               -0.08299676798381,-1.0000000000000003e+140,      0.0,-1.0000000000000003e+140,   0.0
                0.07974147592711,                -0.1085365000237,-1.0000000000000002e+139,      0.0,-1.0000000000000002e+139,   0.0
                0.17395673649703,                  0.266989053633,-1.0000000000000002e+138,      0.0,-1.0000000000000002e+138,   0.0
               -0.52768547829909,                0.15355970869057,-1.0000000000000002e+137,      0.0,-1.0000000000000002e+137,   0.0
                  -0.31309124517,                0.59663303816787,-1.0000000000000002e+136,      0.0,-1.0000000000000002e+136,   0.0
               -0.09317272372609,               -0.13693713018741,-1.0000000000000001e+135,      0.0,-1.0000000000000001e+135,   0.0
                0.36253944728515,               -0.51770036469588,-1.0000000000000001e+134,      0.0,-1.0000000000000001e+134,   0.0
               -0.29475377634078,               -0.27481671730318,-1.0000000000000001e+133,      0.0,-1.0000000000000001e+133,   0.0
                 0.0101542776416,               -0.11340694131149,-1.0000000000000001e+132,      0.0,-1.0000000000000001e+132,   0.0
                0.59108654748905,               -0.35724890233199,-1.0000000000000001e+131,      0.0,-1.0000000000000001e+131,   0.0
                0.21150923575528,                0.59458276567986,                 -1e+130,      0.0,                 -1e+130,   0.0
                0.07758328369341,               -0.08421616740069,                 -1e+129,      0.0,                 -1e+129,   0.0
                0.48983276983294,                0.47645425516021,                 -1e+128,      0.0,                 -1e+128,   0.0
               -0.55700563133394,                0.05873980809156,-1.0000000000000001e+127,      0.0,-1.0000000000000001e+127,   0.0
               -0.06911354746294,               -0.53537186629434,-1.0000000000000001e+126,      0.0,-1.0000000000000001e+126,   0.0
               -0.43543421564951,               -0.35381937979507,-1.0000000000000001e+125,      0.0,-1.0000000000000001e+125,   0.0
               -0.31358801083104,                0.32614866014819,-1.0000000000000001e+124,      0.0,-1.0000000000000001e+124,   0.0
                0.44105807808179,               -0.17077949396984,-1.0000000000000001e+123,      0.0,-1.0000000000000001e+123,   0.0
               -0.59229854539074,               -0.12924795184525,-1.0000000000000002e+122,      0.0,-1.0000000000000002e+122,   0.0
                0.23666776158356,               -0.07166999495018,-1.0000000000000002e+121,      0.0,-1.0000000000000002e+121,   0.0
               -0.32846413939812,               -0.28370325936435,-1.0000000000000001e+120,      0.0,-1.0000000000000001e+120,   0.0
               -0.59458415475287,                0.55737930387084,-1.0000000000000001e+119,      0.0,-1.0000000000000001e+119,   0.0
               -0.31789718820536,               -0.47144414830915,-1.0000000000000002e+118,      0.0,-1.0000000000000002e+118,   0.0
                -0.2230839006038,                0.37940970513326,-1.0000000000000002e+117,      0.0,-1.0000000000000002e+117,   0.0
               -0.01643631973612,               -0.52687194611526,-1.0000000000000002e+116,      0.0,-1.0000000000000002e+116,   0.0
               -0.52201845350533,                -0.3695823344412,-1.0000000000000002e+115,      0.0,-1.0000000000000002e+115,   0.0
                 0.2599534767764,                0.23517072779418,-1.0000000000000002e+114,      0.0,-1.0000000000000002e+114,   0.0
                 0.2266257225011,               -0.14178345947234,-1.0000000000000002e+113,      0.0,-1.0000000000000002e+113,   0.0
               -0.42603727076229,                -0.2414610373232,-1.0000000000000001e+112,      0.0,-1.0000000000000001e+112,   0.0
                 0.3222807725211,                0.47498758634512,-1.0000000000000001e+111,      0.0,-1.0000000000000001e+111,   0.0
                -0.2971195060832,                0.22825894993819,                 -1e+110,      0.0,                 -1e+110,   0.0
                0.25598727578067,               -0.52572376085908,                 -1e+109,      0.0,                 -1e+109,   0.0
                0.01543564698314,                0.19088338965586,                 -1e+108,      0.0,                 -1e+108,   0.0
                -0.2116306325181,               -0.54042678428209,                 -1e+107,      0.0,                 -1e+107,   0.0
                0.37924290497343,                0.52490508908309, -9.999999999999999e+105,      0.0, -9.999999999999999e+105,   0.0
               -0.06454895527343,               -0.30894564751703,                 -1e+105,      0.0,                 -1e+105,   0.0
                0.42443239218772,               -0.38785892517205,                 -1e+104,      0.0,                 -1e+104,   0.0
                -0.3490499019937,               -0.33470276817467,                 -1e+103,      0.0,                 -1e+103,   0.0
                0.44639695288758,               -0.15295569985849,                 -1e+102,      0.0,                 -1e+102,   0.0
                 0.1819155031198,                0.45109653493387,                 -1e+101,      0.0,                 -1e+101,   0.0
                 0.3127807041137,               -0.49688918293633,                 -1e+100,      0.0,                 -1e+100,   0.0
                0.52393786199035,                0.19820963886658,                  -1e+99,      0.0,                  -1e+99,   0.0
                0.53944739670576,                0.30612770202859,      -24084.99585074994,      0.0,      -24084.99585074994,   0.0
                0.02752289326094,                0.09663015519357,     -232.49225943958575,      0.0,     -232.49225943958575,   1.0
