galaxies.galaxy.bulge.ell_comps.ell_comps_0,galaxies.galaxy.bulge.ell_comps.ell_comps_1,galaxies.galaxy.bulge.effective_radius,galaxies.galaxy.bulge.sersic_index,galaxies.galaxy.disk.centre.centre_0,galaxies.galaxy.disk.centre.centre_1,galaxies.galaxy.disk.ell_comps.ell_comps_0,galaxies.galaxy.disk.ell_comps.ell_comps_1,galaxies.galaxy.disk.effective_radius,     log_likelihood,           log_prior,      log_posterior,weight
                        0.24755832159046195,                       -0.02688242167498901,                   0.18164892034943203,                3.3582388142357615,                 0.27239113910788426,                 0.16735900816472743,                      -0.10375378743089789,                       0.06150372856417392,                    9.611977150368777, -416473.4461579634,  1.2860745188526428,-416472.16008344456,   0.0
                       -0.10652467662280625,                        0.11610060872552003,                    25.969066810294628,                 1.909030604825475,                 0.07648021621641787,                 0.04600369487054567,                       0.22243483395889405,                      -0.18979785888710846,                   3.1192856103112576, -363486.2301672054,  0.5748945004123598,-363485.65527270496,   0.0
                        -0.2514464854477983,                       -0.22992111220269132,                    16.578443450307425,                 1.516177101668602,                -0.26542161508811424,                -0.34255441018501454,                        0.4083745405422287,                       0.22443138635651277,                   10.076761671660165, -409855.9892567769, 0.33559266444491576, -409855.6536641125,   0.0
                        0.07587830394180474,                        0.06978126666626512,                    13.483827645508898,                1.3573891666316427,                 0.17338549398696226,                 0.36441335588703966,                       -0.1273574837843904,                      -0.22086073318507493,                   13.167415164765101, -436647.5607843716,  1.6282004248935409,-436645.93258394673,   0.0
                       -0.15997313029842405,                        -0.3029397718670178,                    19.882975034327494,                0.9858767828364863,                 0.27404388999782164,                 -0.7943776740643927,                       0.22295251328537347,                       0.09488618514447927,                   10.276645078752445, -436184.8500960583,   4.088353394009401,-436180.76174266427,   0.0
                        0.38195115180422196,                        -0.2855529912679836,                     18.74151794663006,                3.4867572061566827,                0.038065024887492936,                -0.17117846685268162,                       0.23555749477963503,                      -0.47921465180028505,                   11.631818402876396, -383559.2154131961,  -1.533152267041208, -383560.7485654632,   0.0
                       -0.12503901681336788,                        0.06834465434431515,                     5.766814796051434,                 4.453546594533629,                 -0.3199399824333317,                0.005703520615662835,                      -0.27455831431724537,                       -0.5678220221875422,                   23.883118583778042, -326582.1424811262, -0.6104053028092614,-326582.75288642896,   0.0
                        0.22007351760735053,                       -0.10386062904586277,                     13.02622050783267,                1.2860772771059028,                 -0.1470506590927985,                -0.04978067663659804,                        0.7114389880786887,                       -0.7855183893638232,                    17.79598502660705,  -436639.070465628,  -5.291439765369784,-436644.36190539337,   0.0
                        0.07798488452526287,                        0.00854536823355373,                     2.471317506288538,                1.1457539165410384,                 -0.5590359855161143,                -0.24459761155233314,                        0.3573309169131439,                    -0.0055845458283837615,                   15.129109758105214, -310873.2615934625,  2.4684487508042774, -310870.7931447117,   0.0
                        0.19657077642229695,                          0.461194408625081,                    27.860440095551436,                3.2942960413987787,                 -0.4508850923178698,                  0.2433219475550206,                       -0.3809248853667667,                       -0.1087427699417641,                    23.08148687826141,-355266.50221759634, 0.33375896095734003, -355266.1684586354,   0.0
                         0.3266338598029964,                       -0.35602445379671405,                    2.8614881076107412,                  4.25922000492191,                -0.12238141477054469,                -0.11559350144622492,                      0.039589546656058926,                        0.4156983881524554,                   15.900640473108838,-331687.94747224584, -0.9646317588763426, -331688.9121040047,   0.0
