ellipses.0.centre.centre_0,ellipses.0.centre.centre_1,ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,          log_likelihood,log_prior,           log_posterior,weight
          0.09375454292629,         -0.03163367524143,                0.44234418415031,               -0.33445168237451,-1.0000000000000002e+148,      0.0,-1.0000000000000002e+148,   0.0
         -0.08118211968783,          0.04904102410762,                 0.0952847118253,               -0.02759469498829,-1.0000000000000002e+147,      0.0,-1.0000000000000002e+147,   0.0
         -0.07042377257029,            0.042550388548,                0.12536689343215,                0.01613298207941,-1.0000000000000002e+146,      0.0,-1.0000000000000002e+146,   0.0
         -0.00887420322959,         -0.07007854561994,                0.03156766028611,                 0.1511959618457,-1.0000000000000003e+145,      0.0,-1.0000000000000003e+145,   0.0
         -0.05468569080656,          -0.0155165838813,                0.11306413622034,               -0.39725896197498,-1.0000000000000002e+144,      0.0,-1.0000000000000002e+144,   0.0
         -0.09949299709389,         -0.07576527755835,               -0.15898128974261,                0.30030838830103,-1.0000000000000002e+143,      0.0,-1.0000000000000002e+143,   0.0
          0.05272866934142,         -0.04622490140937,               -0.16898100286846,               -0.08446714241465,-1.0000000000000002e+142,      0.0,-1.0000000000000002e+142,   0.0
         -0.08506193658745,         -0.05925776083614,               -0.29007182635818,                0.43669425098156,-1.0000000000000002e+141,      0.0,-1.0000000000000002e+141,   0.0
          0.09632060962804,         -0.08756998881277,                0.04066054460541,                0.59333468521852,-1.0000000000000003e+140,      0.0,-1.0000000000000003e+140,   0.0
         -0.07291012656196,          0.07194635680986,                0.51451615282342,                0.01476629344683,-1.0000000000000002e+139,      0.0,-1.0000000000000002e+139,   0.0
          0.00694077012482,         -0.05486343868935,                 0.3413659568035,                0.10620440428692,-1.0000000000000002e+138,      0.0,-1.0000000000000002e+138,   0.0
          0.02936116315985,          0.05588584632794,                0.10670914106691,                0.21855833326309,-1.0000000000000002e+137,      0.0,-1.0000000000000002e+137,   0.0
           0.0115724077347,         -0.06115385826296,                0.34089645198363,               -0.50368671167015,-1.0000000000000002e+136,      0.0,-1.0000000000000002e+136,   0.0
         -0.05830307249202,           0.0640034512584,                0.39984469122928,               -0.36629965793729,-1.0000000000000001e+135,      0.0,-1.0000000000000001e+135,   0.0
         -0.02176065008455,         -0.05712147518621,               -0.29901184784608,                0.56960996046249,-1.0000000000000001e+134,      0.0,-1.0000000000000001e+134,   0.0
