0.galaxies.galaxy.bulge.centre.centre_0,0.galaxies.galaxy.bulge.centre.centre_1,0.galaxies.galaxy.bulge.ell_comps.ell_comps_0,0.galaxies.galaxy.bulge.ell_comps.ell_comps_1,0.galaxies.galaxy.bulge.effective_radius,0.galaxies.galaxy.bulge.sersic_index,0.galaxies.galaxy.disk.centre.centre_0,0.galaxies.galaxy.disk.centre.centre_1,0.galaxies.galaxy.disk.ell_comps.ell_comps_0,0.galaxies.galaxy.disk.ell_comps.ell_comps_1,0.galaxies.galaxy.disk.effective_radius,1.galaxies.galaxy.bulge.centre.centre_0,1.galaxies.galaxy.bulge.centre.centre_1,1.galaxies.galaxy.bulge.ell_comps.ell_comps_0,1.galaxies.galaxy.bulge.ell_comps.ell_comps_1,1.galaxies.galaxy.bulge.effective_radius,1.galaxies.galaxy.bulge.sersic_index,1.galaxies.galaxy.disk.centre.centre_0,1.galaxies.galaxy.disk.centre.centre_1,1.galaxies.galaxy.disk.ell_comps.ell_comps_0,1.galaxies.galaxy.disk.ell_comps.ell_comps_1,1.galaxies.galaxy.disk.effective_radius,     log_likelihood,           log_prior,      log_posterior,                weight
                     0.5407106011501951,                  -0.050366343006694604,                           -0.208092300760082,                         -0.05114265262561006,                      11.197003093933542,                  1.6868528292327643,                   -0.4183661645797396,                  0.052530795440096235,                        -0.04432522514970703,                        -0.16951539172723953,                      24.37758861219502,                     0.6953381258279363,                    0.25339248613511406,                         0.018510140476024565,                          -0.2648559268738023,                      26.375893169206115,                   3.009247972286431,                 -0.004738639024538406,                   0.13761801519609415,                         -0.3256501429174198,                         0.14635366521204224,                     12.099477045514881,-39187.517693081274,    6.53592886219829,-39180.981764219076,                   0.0
                    0.23582950095010086,                    -0.4689020716320394,                          -0.1929615087469182,                           0.5559782768898544,                       7.424126080085154,                   3.745699648860424,                    0.1235925145873042,                   0.11174693285721633,                          0.3555268099076158,                         -0.6660719032535619,                     4.6702302840517165,                    0.47889901801548684,                    0.05585865877704668,                           0.4663582884222478,                           0.3355362910336922,                      13.932569584835825,                  3.5634325638430306,                   0.11152758370036189,                  -0.16406864964482956,                         0.18566761659254202,                         -0.5189435982849334,                     3.0390939196539426,-22142.342316110335,  -3.130513935350317,-22145.472830045685,                   0.0
                   -0.06282734397996592,                    -0.5200383397406736,                            0.523702768063039,                          -0.2721977360930219,                      17.360138279246783,                   3.215170348231089,                  -0.29020323976395274,                  -0.20158599682483677,                         0.21964729332105354,                         -0.8597537937163079,                      5.821417562445342,                    -0.3034424538630585,                      0.395413163186976,                            0.336412873595802,                          -0.0505037291278089,                       5.362654884540915,                  1.0492277369542022,                   -0.3571666765537922,                  0.007407410077806706,                        0.022945753537821866,                         0.18681358636341214,                      5.373929600953915,-31960.105241303554, -0.5552690656749913,-31960.660510369227,                   0.0
                   -0.27413720763590993,                   -0.12518991015135014,                          0.11997102230696928,                          0.30752920207362605,                       8.121495942568966,                   2.222638905345268,                   0.08731413464849822,                   0.16184127782772156,                        -0.02228647850450126,                         0.31702221309567874,                     2.6424157594865836,                   -0.25825240876195354,                    -0.2761192632058393,                         -0.11007595187253974,                         -0.34210108534293515,                      12.421498866693915,                  3.4867522248331433,                   -0.5142210972250579,                  -0.06031884380795322,                        -0.02419560273769547,                         0.33906590795878166,                     11.433156852940822,-19217.220867535056,   2.736974978582558,-19214.483892556473,                   0.0
                    -0.5227520177391899,                   -0.16282422688857193,                         -0.19988604898762555,                         -0.19011897431127975,                       20.51462274807095,                  3.9969169433711045,                   0.24832522418203656,                     0.204700895288859,                        0.007455464085478285,                          0.6104092811233746,                     22.242011561786654,                   -0.02657128875111941,                     0.5112471432121001,                         -0.15762733864944575,                           0.3710262546182167,                       26.84739716625344,                  1.7417480920677901,                  -0.04650784684222132,                  -0.05194402912345027,                         0.07975973163122703,                         -0.5186982288682676,                     29.413908087613972,-30871.395220205617,   1.085025708645306, -30870.31019449697,                   0.0
                    0.06372274920308638,                    0.23628418155219266,                           0.4682913698028596,                         -0.14036683302773045,                      29.566229850265774,                  0.8169923620028516,                  -0.27987422369732595,                   -0.5258930970041169,                        -0.11922197285966914,                      -0.0002226391910003665,                      8.763800016218699,                   -0.48478468871324876,                    -0.2379255395127659,                         -0.07343349805022462,                          -0.3540774732031871,                       22.61492283452531,                  1.9994434850586131,                   0.03037686968006174,                  -0.11567034904215989,                         -0.2233626267768523,                        -0.08414096805505701,                     19.651841469473183, -45228.52867808553,    3.84138424796232, -45224.68729383757,                   0.0
                     0.2538770458233605,                   -0.30833340514914565,                          0.02745044980679468,                           0.2515574238321825,                      1.5065972292792151,                  3.7728411564943594,                  -0.20309632832865912,                  0.047706975575918395,                         0.14331309738373774,                         -0.4941886279751767,                    0.28559456115193727,                    0.08215813458344083,                    -0.3810019576344941,                         -0.23515915503890913,                          0.35268398223816294,                       4.355918778511725,                  2.7859427341508303,                  -0.04667784100174979,                   -0.2627208270447943,                        -0.20513054616312482,                        -0.30148265971602334,                     20.579733971230045,-31988.541870024557,  1.0910796294899334, -31987.45079039507,                   0.0
                     0.2857990146870436,                    -0.2764896468221256,                          0.07818835887182664,                          0.15723021584820468,                      23.194470730605474,                   4.655490442143245,                   -0.2929738097030199,                   0.41446383024158995,                         -0.0904758922880677,                         0.11566867311630871,                     15.297433324734728,                    -0.3233627518065218,                    -0.5103990876057185,                           0.5607582536167827,                       -0.0020862304838364406,                       5.715677301159488,                    4.52646335251288,                   0.28482349928163836,                  0.017798555008991968,                           0.562333395316535,                         0.40269943176389705,                     13.925678273767927,-17625.380414400257,   2.381662598592294,-17622.998751801664,                   0.0
                    0.06438573485256747,                     0.2679769716103225,                        -0.043066502569687505,                         -0.04911428572957232,                        9.08769452763215,                     3.7635160120351,                     0.289691643272294,                    0.4703790261770435,                          0.3667949613625704,                         0.20990574479422106,                      5.963041517647176,                     0.3473892193144808,                     0.1521482678608592,                        0.0064219168661510005,                          0.24605124060658834,                       18.53662519328426,                   4.987646750590311,                    0.2007808454369985,                   -0.1321200673463075,                         0.19499843602693728,                         0.12877854245810438,                     22.401142111258828,-11576.963880778141,    3.86867109623962,-11573.095209681902,                   1.0
                    -0.6650363970938614,                   -0.03381030762462902,                           0.1786831262481472,                         -0.08662373140137734,                      26.624454350244058,                  2.7938050845781577,                   -0.2051875936416542,                  -0.46026337696739805,                           0.366807242048627,                        -0.15176194356754516,                     15.217734179981319,                     0.8379957360659692,                      -0.29445031421399,                          -0.1040110507220466,                         0.016950321991514684,                      27.022248166991833,                  1.9693951148805562,                    0.2634671815430966,                   -0.2508889936748908,                      -0.0025704736512266587,                        0.035051462406898756,                     27.677766455240445, -33214.06328195415,  10.116628525938738, -33203.94665342821,                   0.0
