ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,multipoles.0.0.multipole_comps.multipole_comps_0,multipoles.0.0.multipole_comps.multipole_comps_1,multipoles.0.1.multipole_comps.multipole_comps_0,multipoles.0.1.multipole_comps.multipole_comps_1,          log_likelihood,         log_prior,           log_posterior,weight
               -0.08988199728395,                 0.3847462713133,                            -0.10866579670052164,                             0.02452134972377636,                             0.11677037591276075,                             -0.0852649157335986,-1.0000000000000002e+148,1.6657489255349982,-1.0000000000000002e+148,   0.0
               -0.10324768669584,                0.36641016261682,                             -0.0098221703697325,                             0.08756337247972323,                           -0.012469624713479417,                             0.05610806243796042,-1.0000000000000002e+147,0.5533712720915941,-1.0000000000000002e+147,   0.0
               -0.54619027998081,                -0.0808635004153,                              0.1032376413950517,                             0.09490216844081381,                             0.03639689090354319,                            -0.17056287176834775,-1.0000000000000002e+146, 2.504042953444607,-1.0000000000000002e+146,   0.0
                0.15660114008524,               -0.38197884518071,                            0.006898716263164793,                            -0.04493771162940447,                             0.13389991182645603,                            -0.00098254908071908,-1.0000000000000003e+145,0.9998571001197942,-1.0000000000000003e+145,   0.0
                0.19148859939881,               -0.34855772202788,                           0.0026455331504626504,                            -0.07560629551484273,                            -0.06023221761936143,                             0.14016853984195757,-1.0000000000000002e+144, 1.449922518395024,-1.0000000000000002e+144,   0.0
               -0.31122544263906,                0.20879005120409,                              0.1089192875091146,                             0.06859774170071437,                            -0.22603395451385822,                            -0.10410725310990263,-1.0000000000000002e+143,3.9249365050596663,-1.0000000000000002e+143,   0.0
               -0.06402610308937,                0.59864154058367,                            -0.03341514491286904,                              0.0607395158686168,                            -0.20158976448538468,                             0.04594976268979025,-1.0000000000000002e+142, 2.377783726701144,-1.0000000000000002e+142,   0.0
                0.47897814351925,               -0.56404088212192,                           -0.024636923099106173,                             0.04137091653574207,                            -0.10356096369375846,                             0.18783462879023236,-1.0000000000000002e+141,2.4162625844371473,-1.0000000000000002e+141,   0.0
               -0.41097922210783,                0.31606309081476,                            -0.11160322409362408,                             0.03099428087736832,                             0.09017375219333591,                            0.010372713277001212,-1.0000000000000003e+140,1.0827411920274452,-1.0000000000000003e+140,   0.0
               -0.30249521712778,                0.48382523857776,                              0.0886171883299321,                            0.022542977776399548,                           -0.022350541079146878,                            -0.07596648055787282,-1.0000000000000002e+139,0.7315822384705098,-1.0000000000000002e+139,   0.0
                0.36360566157635,               -0.52084716237065,                             -0.1284705772890374,                           -0.041547758333495124,                             0.03488061535444828,                            0.009665241709365696,-1.0000000000000002e+138,0.9770489838161239,-1.0000000000000002e+138,   0.0
                0.07525960884711,               -0.03395818385174,                             0.15711128688719259,                           0.0005048524833219678,                          -0.0046554511232857814,                            0.012345335735428292,-1.0000000000000002e+137,1.2429145941480695,-1.0000000000000002e+137,   0.0
               -0.35723212241052,               -0.26306386495063,                             -0.1662135437501273,                            0.011472502222290808,                            0.009045148828126156,                            0.055254508619435545,-1.0000000000000002e+136,1.5446717936657086,-1.0000000000000002e+136,   0.0
                0.04789052349369,               -0.12852481249465,                            -0.17938500609572838,                             0.07227013905517206,                            -0.05505029349085828,                             -0.2812966723440752,-1.0000000000000001e+135, 5.978015304814901,-1.0000000000000001e+135,   0.0
