ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,          log_likelihood,log_prior,           log_posterior,weight
               -0.32422285198981,                0.17538880920971,-1.0000000000000002e+148,      0.0,-1.0000000000000002e+148,   0.0
                 0.2720149230639,               -0.36977914844468,-1.0000000000000002e+147,      0.0,-1.0000000000000002e+147,   0.0
                0.52227642759875,                0.47150138675791,-1.0000000000000002e+146,      0.0,-1.0000000000000002e+146,   0.0
                0.36524575108717,               -0.50469106669889,-1.0000000000000003e+145,      0.0,-1.0000000000000003e+145,   0.0
               -0.47018602464175,               -0.33984533634567,-1.0000000000000002e+144,      0.0,-1.0000000000000002e+144,   0.0
                0.23154373908448,               -0.22055713339133,-1.0000000000000002e+143,      0.0,-1.0000000000000002e+143,   0.0
               -0.38605192802774,               -0.46544932822437,-1.0000000000000002e+142,      0.0,-1.0000000000000002e+142,   0.0
                0.46888455242228,                0.13441018812063,-1.0000000000000002e+141,      0.0,-1.0000000000000002e+141,   0.0
               -0.27356472043214,                0.20421288912607,-1.0000000000000003e+140,      0.0,-1.0000000000000003e+140,   0.0
               -0.56830985967724,               -0.18433507155139,-1.0000000000000002e+139,      0.0,-1.0000000000000002e+139,   0.0
                  0.554561220675,               -0.35311979079384,-1.0000000000000002e+138,      0.0,-1.0000000000000002e+138,   0.0
                -0.2858894691608,                0.51287889650857,-1.0000000000000002e+137,      0.0,-1.0000000000000002e+137,   0.0
               -0.03128814675186,                0.38650185284933,-1.0000000000000002e+136,      0.0,-1.0000000000000002e+136,   0.0
                0.54125239743668,               -0.47656325828309,-1.0000000000000001e+135,      0.0,-1.0000000000000001e+135,   0.0
                0.13861666450551,               -0.46889036688397,-1.0000000000000001e+134,      0.0,-1.0000000000000001e+134,   0.0
                -0.4875285722221,                0.24936772874234,-1.0000000000000001e+133,      0.0,-1.0000000000000001e+133,   0.0
               -0.05424825514909,               -0.14543678502765,-1.0000000000000001e+132,      0.0,-1.0000000000000001e+132,   0.0
                0.13185504486089,                0.18073972742159,-1.0000000000000001e+131,      0.0,-1.0000000000000001e+131,   0.0
               -0.39056038250273,                0.08673277042047,                 -1e+130,      0.0,                 -1e+130,   0.0
                0.31285164440994,               -0.31985657626358,                 -1e+129,      0.0,                 -1e+129,   0.0
               -0.41616208011446,               -0.03993705032786,                 -1e+128,      0.0,                 -1e+128,   0.0
               -0.53345757639706,                0.13760376721876,-1.0000000000000001e+127,      0.0,-1.0000000000000001e+127,   0.0
               -0.21705106457186,                0.34766655861499,-1.0000000000000001e+126,      0.0,-1.0000000000000001e+126,   0.0
                0.27611775667514,                0.25177611219223,-1.0000000000000001e+125,      0.0,-1.0000000000000001e+125,   0.0
               -0.01763714218825,               -0.43009592531567,-1.0000000000000001e+124,      0.0,-1.0000000000000001e+124,   0.0
               -0.03337848203917,                0.06003896034515,-1.0000000000000001e+123,      0.0,-1.0000000000000001e+123,   0.0
               -0.52020785031827,                0.00157857746865,-1.0000000000000002e+122,      0.0,-1.0000000000000002e+122,   0.0
                0.33310933564088,                -0.2723613742117,-1.0000000000000002e+121,      0.0,-1.0000000000000002e+121,   0.0
               -0.44253352511816,                0.38125833807463,-1.0000000000000001e+120,      0.0,-1.0000000000000001e+120,   0.0
               -0.32062841271137,                 0.5711923933977,-1.0000000000000001e+119,      0.0,-1.0000000000000001e+119,   0.0
               -0.32480297357318,                0.18239060036447,-1.0000000000000002e+118,      0.0,-1.0000000000000002e+118,   0.0
               -0.41324097498558,                0.32167470025541,-1.0000000000000002e+117,      0.0,-1.0000000000000002e+117,   0.0
                0.49864551926212,                0.57845386156771,-1.0000000000000002e+116,      0.0,-1.0000000000000002e+116,   0.0
               -0.23496419031316,               -0.11955929194162,-1.0000000000000002e+115,      0.0,-1.0000000000000002e+115,   0.0
               -0.11473216896853,                0.46888065787883,-1.0000000000000002e+114,      0.0,-1.0000000000000002e+114,   0.0
               -0.23619322553368,               -0.36769783467917,-1.0000000000000002e+113,      0.0,-1.0000000000000002e+113,   0.0
                0.07426310927668,                0.55878653627316,-1.0000000000000001e+112,      0.0,-1.0000000000000001e+112,   0.0
               -0.35712168876268,                0.44583899465564,-1.0000000000000001e+111,      0.0,-1.0000000000000001e+111,   0.0
               -0.11284832449298,               -0.33744967039723,                 -1e+110,      0.0,                 -1e+110,   0.0
               -0.43342735018794,                0.57509070446258,                 -1e+109,      0.0,                 -1e+109,   0.0
               -0.16090128644658,                0.28939121908607,                 -1e+108,      0.0,                 -1e+108,   0.0
                 0.5262372002129,               -0.30726259636789,                 -1e+107,      0.0,                 -1e+107,   0.0
               -0.30539260879165,               -0.42820664305112, -9.999999999999999e+105,      0.0, -9.999999999999999e+105,   0.0
                0.51479639290109,                0.39891986188361,                 -1e+105,      0.0,                 -1e+105,   0.0
                0.42697779329668,                0.42903695681422,                 -1e+104,      0.0,                 -1e+104,   0.0
               -0.07113757043198,                0.29250603112529,                 -1e+103,      0.0,                 -1e+103,   0.0
                 0.0205868238578,                0.01428663502402,                 -1e+102,      0.0,                 -1e+102,   0.0
               -0.56649650287532,                0.44882268362721,                 -1e+101,      0.0,                 -1e+101,   0.0
               -0.05592685517417,               -0.16725872274688,                 -1e+100,      0.0,                 -1e+100,   0.0
                0.21316280017362,               -0.05980962959742,                  -1e+99,      0.0,                  -1e+99,   0.0
                0.41997272688246,                0.49174556235388,       -84211.8675344997,      0.0,       -84211.8675344997,   0.0
                0.38737517635492,                 0.4606398787098,     -58189.846716105254,      0.0,     -58189.846716105254,   1.0
