galaxies.galaxy.disk.profile_list.9.centre.centre_0,galaxies.galaxy.disk.profile_list.9.centre.centre_1,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.galaxy.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.galaxy.disk.profile_list.9.ell_comps.ell_comps_0,galaxies.galaxy.disk.profile_list.9.ell_comps.ell_comps_1,     log_likelihood,           log_prior,      log_posterior,                weight
                              -0.008780275458779505,                               -0.07513760551852677,                                       0.025451490900311766,                                        -0.3833943623086208,                                      -0.3584418506199447,                                      -0.4246944122128786, -32635.28669299074, -1.3924562897073458,-32636.679149280448,                   0.0
                              -0.033277072794740375,                                0.04925244518848379,                                         0.4339937579681621,                                        -0.1733573506797664,                                     0.020929366326547415,                                      0.18647111858783452, -7471.103107262492, -0.2653893449989473, -7471.368496607491,                   0.0
                              -0.013308110267979553,                              -0.016250750201861203,                                       -0.03687472894262172,                                       -0.24105150513203785,                                     -0.02647479103377714,                                     -0.32488045686033246, -16903.00702015835, 0.22293882089655814,-16902.784081337453,                   0.0
                                0.04063048453403448,                              -0.004800334824223193,                                        0.18295249674521355,                                        -0.3719855601150746,                                       0.1653828176106168,                                     -0.17871959561395895,-23972.967959573885, -0.1405236438012391,-23973.108483217686,                   0.0
                               -0.09076190387038946,                              -0.005410883376146189,                                         0.4264885074291033,                                       0.012114771094423066,                                      0.10521797590560182,                                      -0.2317809301683519,-26399.583088644074, -0.2277202742149949, -26399.81080891829,                   0.0
                                0.02695860893408278,                                0.02307277956039891,                                       -0.36941791607332697,                                        0.04884210400415409,                                    -0.022625763046282853,                                       -0.593854344166971, -8067.756549623171, -1.5899292652581576, -8069.346478888429,                   0.0
                               -0.07377677829589338,                               -0.06368665949029487,                                       -0.21596877260863812,                                       -0.05940647013229357,                                      0.14419809323355245,                                       0.3922408826583761, -3096.524555264268,-0.10541584568900697,-3096.6299711099573,                   0.0
                                0.07790427994360138,                               -0.08457630634251818,                                        0.13379300598575866,                                         0.2586592169866571,                                       0.5217048427983801,                                     -0.10481021835224155, -23891.57310257668, -0.9006860917818292,-23892.473788668463,                   0.0
                              -0.014629305920069766,                                 0.0680930568082469,                                         0.2674893136836402,                                        0.13097448146464102,                                      -0.5537425556600867,                                      0.11159441068782978,-3628.3884162243685, -1.1219232824619505,-3629.5103395068304,                   0.0
                              -0.033613931051781606,                               -0.06571653711863559,                                        0.18013520569640049,                                       -0.34711659446342574,                                      0.17166284441720067,                                     -0.05784594076491552,-20384.648227994934,  0.1116104435161146,-20384.536617551417,                   0.0
                               -0.07034445347725393,                               0.008607919058050542,                                        -0.1201165179307338,                                        0.15208120130547859,                                       0.6455415603225952,                                      -0.1834940706513953,-1507.4811115035336, -1.5672659022545465,-1509.0483774057882,                   0.0
                                -0.0347431945746982,                               -0.06608485922780208,                                       -0.33276619070074376,                                       0.032785423891321365,                                      0.08198913487696642,                                      -0.4347351738066068,  -6976.58771078551, -0.5649017996849873, -6977.152612585195,                   0.0
                                0.03279361572619183,                               -0.09093211809048041,                                      -0.036802256830307654,                                         0.6167612383120912,                                      -0.1350420491000372,                                      0.03545099215694323,-1466.3427264006532, -1.0855509540536827,-1467.4282773547068,                   0.0
                                0.08818882173489712,                               -0.03643216071424116,                                        -0.2021757981997689,                                        0.16549798046144557,                                       0.2572490071030643,                                      0.48263038056500285, -5570.671452563414, -0.8973943526772721, -5571.568846916091,                   0.0
                                0.08251582510135055,                               0.006435608778651458,                                        -0.3228402064104132,                                         -0.735221833919215,                                      0.17230511057406894,                                     -0.16693890145704993, -25364.73069318108, -2.7582878031323728,-25367.488980984213,                   0.0
                                0.05258218476023466,                               -0.08775682519271955,                                        0.15165420538370597,                                        0.22709029393378646,                                       0.1766793678904251,                                     -0.04523588326151289,-19025.526384171055,  0.5445105752797084,-19024.981873595774,                   0.0
                               0.029245310185708084,                               -0.09396239825807409,                                        0.21009722419675622,                                        -0.3338471949421042,                                      0.14782556334877409,                                     -0.14009225702390238, -23999.87047035998, 0.04872086938403758,-23999.821749490595,                   0.0
                               -0.04296074724271555,                               0.014172137447746633,                                       0.043812986197103866,                                        0.16131600333077512,                                     -0.09460182746741737,                                       0.1296705123901384, 348.61116443691117,  0.8452022727701967,  349.4563667096814,2.1750566994287738e-52
                              -0.048379763952640015,                               -0.05413903078485523,                                         0.4453267049052177,                                          0.389121466813164,                                      0.34325777321496137,                                      0.15665866361946454, -37575.78817000689, -1.5903135470202439, -37577.37848355391,                   0.0
                               -0.05933715596100238,                              -0.026662682562257276,                                       -0.46350016820547796,                                       -0.09695374816849034,                                      0.26515148969829083,                                       0.5049298518988642, -7083.148341088452, -1.9091617539211305, -7085.057502842374,                   0.0
                               -0.07534314164078132,                               -0.08665921843297056,                                         0.3173976740035526,                                        0.07994203027145542,                                       0.3209266337092625,                                      0.28579247618992704,  -35816.5780016804,-0.47755815558368453, -35817.05555983598,                   0.0
                                0.08659036132894285,                              -0.057276965078921174,                                        0.24134946966052384,                                       -0.49975847757299463,                                       0.1854018025961096,                                     -0.21556021271695222, -31994.72108026428, -1.0166963821750243,-31995.737776646456,                   0.0
                              -0.058320884777031526,                                0.03714260927154772,                                       -0.32883142782135416,                                         0.2140229374217894,                                      -0.3647250413153789,                                     -0.14673728580937123,  -8929.81175923526, -0.5702740285690774, -8930.382033263828,                   0.0
                              -0.020056231718289547,                                0.03497872936534821,                                        -0.3007113294178026,                                         -0.629756099707119,                                      0.22790418447861804,                                      0.33509327758571866,-13419.528021329848,  -2.474472685622749, -13422.00249401547,                   0.0
                               -0.05156017982923092,                                 0.0493914734971212,                                        0.19150104775740628,                                       -0.24595593009155747,                                     -0.20311125496597462,                                      -0.3732909755549624,-25718.937677699963, -0.3995806546197918,-25719.337258354582,                   0.0
                                -0.0904703509380816,                              -0.015596148956756609,                                       0.005391962514385699,                                        -0.6328389888112065,                                      0.37153948991046354,                                     -0.43552347276265174,-55227.827744963855, -2.9021875532058945, -55230.72993251706,                   0.0
                               0.031971648902941074,                                0.05171198624752438,                                         0.3431173108686974,                                      -0.055444148906256714,                                      -0.0234855352390408,                                      0.12344071598447541,-2930.5515103531634,  0.3847225774362447,-2930.1667877757272,                   0.0
                                -0.0655912564339794,                               0.029032896514296358,                                        0.26085363885466073,                                        -0.6532015767462084,                                       0.3025153081924984,                                     -0.10750460484979482,  -34515.8137035214, -2.1774826954983877,  -34517.9911862169,                   0.0
                              -0.017510241137148982,                             -0.0008425830185509187,                                        -0.6689245476469681,                                        -0.2286593006990833,                                       0.3572457304470218,                                      -0.3333167917910522,-22446.743971355012, -2.9590385251163704, -22449.70300988013,                   0.0
                               -0.09039814947339744,                              -0.012384877620830473,                                         0.3344190553834764,                                         0.3549948939079934,                                      0.33434337988864105,                                      0.04772283348562328, -35570.19951360756, -0.8115425360173728, -35571.01105614357,                   0.0
                                 0.0431674651827145,                                0.04756751297711742,                                         0.5548897816952443,                                         0.5161722348237534,                                      0.10804761652468696,                                       0.5419401019400718,-42921.273305391514, -3.7437056668209534,-42925.017011058335,                   0.0
                                0.05016188112357087,                              -0.003046769102128713,                                       -0.22671656641808746,                                      0.0045705374992425175,                                     -0.02986646152893474,                                      -0.1036449302965957, -798.6695229680299,  0.7932623273920507, -797.8762606406378,                   0.0
                                0.03014186269291924,                                0.01070990895695309,                                         0.5200321432174683,                                       -0.11805352097507378,                                        0.554388705996475,                                     -0.21909130530835855,  -54052.1784344598, -2.4104172992204362, -54054.58885175902,                   0.0
                               -0.05368630687929008,                                0.04372113256467197,                                      -0.025390719633089188,                                       -0.04033819072314137,                                      0.08296316149425322,                                     -0.06129941866676846, -3985.376265185988,  1.0718356898008097, -3984.304429496187,                   0.0
                               -0.03994335605597397,                                 0.0155821974413759,                                      -0.053097080268065144,                                        0.09933608014390338,                                      0.49353696718362183,                                      -0.5056148285404481,  467.5685345396978, -1.7003847901982772, 465.86814974949954,                   1.0
                               0.008565236854279193,                               -0.06452480454950049,                                       -0.11900588018296686,                                       -0.11710965033008457,                                      -0.1330781761434912,                                      -0.5045450233357909, -6450.979464454833, -0.5239431329149753,-6451.5034075877475,                   0.0
                                0.09378406544022524,                               -0.08970085284643009,                                        -0.3981468291142073,                                        0.13303412053913677,                                     -0.21762238705856862,                                      0.30007089728490194,-15131.993472024666, -0.5987679676405628,-15132.592239992306,                   0.0
                                0.08757191763386649,                               -0.04010738387772039,                                        0.23742562849184456,                                       -0.24192536224769706,                                     -0.23272910656718868,                                    -0.062316519570339714, -6885.046551021142, 0.18276550952280263,-6884.8637855116185,                   0.0
                                0.05147743939054539,                                0.07433773407986832,                                       -0.10903262204593021,                                       -0.05430351227128567,                                      0.06273347549563935,                                      0.06926268525536015, -4232.855500355334,  1.0126277483372237, -4231.842872606997,                   0.0
                                0.08279897963869942,                                -0.0727783956166897,                                      -0.012708649791725441,                                        0.28934230570923686,                                       0.4551926505665287,                                     -0.04434139672475636,-15470.096818422904,-0.48446778285275927,-15470.581286205757,                   0.0
                                -0.0326178683893608,                              -0.014718287516409315,                                         0.5932841690287419,                                        0.12798904722007376,                                        0.310580633165089,                                     -0.07159363412083487,-32289.740663855737, -1.4672805124434944, -32291.20794436818,                   0.0
                               0.011878010356301427,                              -0.016716666837319427,                                        0.18499797338007387,                                         0.3334897159172247,                                     -0.25366671270930957,                                     -0.49047185204290633, -7850.253862228557,  -1.358368290155434, -7851.612230518713,                   0.0
                               -0.08008087184141113,                                0.08819751180735644,                                       -0.07365554846653703,                                        0.29608104717916117,                                      0.12655561739186166,                                      0.09191405002413791,-11857.334345431247,  0.4904952451586867, -11856.84385018609,                   0.0
                              -0.028472549529366314,                               -0.02087132891909968,                                        -0.2749419566647848,                                        0.10324668325227282,                                       -0.100634737454558,                                      -0.4514944539330476,-1793.8045464049792, -0.5243597895536143, -1794.328906194533,                   0.0
                              -0.018597524153272246,                               0.016952780219917057,                                       -0.03775463430580486,                                       -0.34276287584243376,                                      0.08902972464971463,                                      -0.2568197837566474,-23631.631224461846, 0.07249051480609921, -23631.55873394704,                   0.0
                                0.07893582461377033,                               -0.01091234852636265,                                        0.15877585661676333,                                       -0.04078218559579118,                                      0.18808948309045767,                                      0.12297045343092515,-18049.943338584286,  0.7137246775547459, -18049.22961390673,                   0.0
                                0.09135310138792394,                               -0.06589177602799612,                                        -0.3146924042604038,                                       -0.39018328672013036,                                      0.05770081950170167,                                      -0.1544180385522148,-18681.123382569276, -0.4033657466885803,-18681.526748315966,                   0.0
                               0.013625315834466759,                              -0.054937980583807125,                                        -0.3168261110207903,                                        0.07174243639169055,                                     -0.24505904833583297,                                     -0.17689735580472363, -5702.132497151573, 0.04983563259173726, -5702.082661518982,                   0.0
