dataset_model.grid_offset.grid_offset_0,dataset_model.grid_offset.grid_offset_1,     log_likelihood,log_prior,      log_posterior,                 weight
                   -0.06312556241472894,                     0.0639447894950885,-12736.161545197505,      0.0,-12736.161545197505,                    0.0
                    0.05083366652597818,                     0.0333184429909649,-12039.547736752804,      0.0,-12039.547736752804,                    0.0
                   -0.09698692461084771,                   -0.05543606288540873, -9119.294666965343,      0.0, -9119.294666965343,                    0.0
                    0.07604962113605865,                  -0.036487820942008795, -9622.224072862224,      0.0, -9622.224072862224,                    0.0
                    -0.0672912589616286,                    0.03467898570295497, -11055.60180609436,      0.0, -11055.60180609436,                    0.0
                    0.08237862534512128,                  -0.051588479792418075, -9405.324913615852,      0.0, -9405.324913615852,                    0.0
                   -0.06763919300498716,                  -0.032766260008733214,    -8509.585091578,      0.0,    -8509.585091578,                    0.0
                    0.06623518292811376,                   -0.03441766659529759, -9290.940349211505,      0.0, -9290.940349211505,                    0.0
                 -0.0006760203698124301,                    -0.0743814676424462, -6897.905542474538,      0.0, -6897.905542474538, 1.2480296127603534e-47
                    0.08670842832566128,                   0.006922704004103039,-12151.949447171806,      0.0,-12151.949447171806,                    0.0
                   -0.06727765040534806,                   -0.04895047208112218, -8135.953890472159,      0.0, -8135.953890472159,                    0.0
                   -0.05719426676584447,                   -0.06790930402010861, -7609.936498553576,      0.0, -7609.936498553576,                    0.0
                   -0.06174490000395612,                   0.005503327169128047, -9659.022368292957,      0.0, -9659.022368292957,                    0.0
                  -0.039250600931222436,                     0.0356631593542974, -10784.25095485133,      0.0, -10784.25095485133,                    0.0
                   -0.09754740710775366,                    0.09167171255652834,-15119.874619715749,      0.0,-15119.874619715749,                    0.0
                    0.05907908729655029,                   -0.07883731393391075, -7852.163276754549,      0.0, -7852.163276754549,                    0.0
                   -0.09801838703827324,                    0.09320662617422829,-15222.254440786255,      0.0,-15222.254440786255,                    0.0
                   0.015502761627133557,                    0.06835534759074299,  -13395.3500030369,      0.0,  -13395.3500030369,                    0.0
                  -0.013118950986129835,                    -0.0410300732836503,  -7542.48088994675,      0.0,  -7542.48088994675,                    0.0
                  -0.045554228367762906,                   -0.04776566191913903, -7670.221584880368,      0.0, -7670.221584880368,                    0.0
                  -0.035668557469194534,                    0.08894771508675123,-14227.789864504313,      0.0,-14227.789864504313,                    0.0
                   0.007791193335185326,                    -0.0736922881242833, -6959.610592542933,      0.0, -6959.610592542933, 1.9863791132568647e-74
                   0.006327442970034361,                     0.0560538257102077,-12306.427090363872,      0.0,-12306.427090363872,                    0.0
                   -0.05528797941443784,                    0.03846578764094555,-11069.416900528999,      0.0,-11069.416900528999,                    0.0
                  -0.003463964048895235,                   -0.03397729875256654,  -7776.04998457601,      0.0,  -7776.04998457601,                    0.0
                   0.006480578641317639,                   -0.06503918377940845, -7078.430443792724,      0.0, -7078.430443792724,4.9574278429788426e-126
                    0.03508583854079944,                  -0.032388304501993884, -8408.059621881297,      0.0, -8408.059621881297,                    0.0
                    0.06405368779803178,                    0.08459969192608882,-16124.975746425898,      0.0,-16124.975746425898,                    0.0
                   0.016941253837742296,                   -0.04823783713339172, -7563.070572795557,      0.0, -7563.070572795557,                    0.0
                    0.06961172306328989,                  -0.045121429626272615, -9050.138099972002,      0.0, -9050.138099972002,                    0.0
                     0.0885660705079453,                   -0.08939557330732328, -8833.587851667387,      0.0, -8833.587851667387,                    0.0
                    0.03171370699541304,                   -0.06566047619469875,   -7407.8289034394,      0.0,   -7407.8289034394, 4.358359293267749e-269
                   -0.05351401965858069,                   -0.05857324715194128, -7638.323744430232,      0.0, -7638.323744430232,                    0.0
                  -0.014342062782163725,                   -0.08706295371265599, -6789.905609101657,      0.0, -6789.905609101657,                    1.0
                    0.08142700645919582,                   -0.09470293743084822, -8418.765513879956,      0.0, -8418.765513879956,                    0.0
                    0.04921115328698983,                  -0.012575395251032573, -9672.743139889531,      0.0, -9672.743139889531,                    0.0
                  -0.009625103754038772,                -0.00045309158887116285,   -9039.4255204863,      0.0,   -9039.4255204863,                    0.0
                    0.07984773119359664,                   -0.06821032447981554, -8842.344893175043,      0.0, -8842.344893175043,                    0.0
                   0.033456496249258005,                    0.04876441705777329, -12477.37925197326,      0.0, -12477.37925197326,                    0.0
                   -0.03809313117982796,                   -0.07891963969051824, -7116.467040608764,      0.0, -7116.467040608764,1.5002799110223948e-142
                   -0.09308535854528793,                  -0.012526370141749912,       -9918.814088,      0.0,       -9918.814088,                    0.0
                   -0.01164848247245076,                    0.04578447778749506,-11436.326297667147,      0.0,-11436.326297667147,                    0.0
                    -0.0760630430147868,                   -0.07451930096137996, -8131.114934514804,      0.0, -8131.114934514804,                    0.0
                   -0.03218894322638473,                   -0.03405052020467279, -7836.279235072161,      0.0, -7836.279235072161,                    0.0
                   -0.06155188907747904,                   0.020650781270671062,-10296.230613648655,      0.0,-10296.230613648655,                    0.0
                    -0.0651679287950116,                  -0.054604761396812564, -8003.234395442207,      0.0, -8003.234395442207,                    0.0
                   -0.09836658049116674,                  -0.025844626128560935,  -9692.96756944789,      0.0,  -9692.96756944789,                    0.0
                   0.031124388552590615,                   0.055678024540118026, -12848.31015952721,      0.0, -12848.31015952721,                    0.0
                    0.02161480529685922,                   -0.08580188916860297, -6926.177691101373,      0.0, -6926.177691101373,  6.573349894345761e-60
                  -0.016097062069146323,                  -0.019589188500095125, -8239.981163589713,      0.0, -8239.981163589713,                    0.0
