galaxies.galaxy.pixelization.regularization.coefficient,galaxies.galaxy.pixelization.regularization.scale,     log_likelihood,             log_prior,      log_posterior,weight
                                    0.06700800391955328,                               11.516455679740565,  77462.68709700798,    15.010422611004698,  77477.69751961897,   0.0
                                     15209.275237763448,                           0.00012748030515021526, -3689.967324563362,     7844.349032608658,  4154.381708045295,   0.0
                                      841154.9902499164,                                8.712403526023332, -3689.964797265259,   0.11478007815872247,-3689.8500171871005,   0.0
                                   0.018501958704516142,                               0.6779439135029562,             -1e+99,    55.523379911993814,             -1e+99,   0.0
                                 1.0418334202899917e-06,                                40.38899276487795,  5238313064.734371,     959846.3692176782,  5239272911.103589,   1.0
                                     0.6623879101704317,                           0.00017285790119099385, -3599.386949074569,     5786.608276784446,  2187.221327709877,   0.0
                                      52.02213273968829,                            1.073798930011034e-06, -3688.817876748356,     931273.0649032387,  927584.2470264903,   0.0
                                      567.0046585978265,                            1.840938259643449e-05, -3689.865446962271,    54320.128729437085, 50630.263282474814,   0.0
                                  0.0006916643464257281,                               0.0828430160323309,  87105.00013596249,    1457.8590061006187,  88562.85914206311,   0.0
                                     15.540581180683532,                                37.86005277993233,-3338.7894454633415,   0.09076072188716103, -3338.698684741454,   0.0
                                      153189.1449221591,                                582045.5003574742,-3689.9356508519804, 8.245956420501128e-06, -3689.935642606024,   0.0
                                      160.8768220150296,                                 95.1677045221698, -3656.053604453841,   0.01672370213298566,-3656.0368807517084,   0.0
                                      524.2502467975781,                               20435.297973961045,-3679.5632617011715,  0.001956420924127121,-3679.5613052802473,   0.0
                                      51589.33534510132,                                53.23886053804697, -3689.865493512686,  0.018802655880200737,-3689.8466908568057,   0.0
                                     143278.55161696507,                               47462.150976753546,-3689.9331872645644,2.8048831850186935e-05,-3689.9331592157323,   0.0
                                      24566.51138373258,                                59293.74878488832,-3689.7491623085125,   5.7571004671731e-05, -3689.749104737508,   0.0
                                     1146.3390439181696,                            0.0005178748909372362, -3689.918927408557,    1930.9691766565127,-1758.9497507520443,   0.0
                                     138602.15269024766,                           0.00011703270246885648, -3689.970836745464,       8544.6202621057,  4854.649425360236,   0.0
                                  0.0003985018632023497,                            3.983266307981124e-05, 146878.85749361487,    27614.423494654286, 174493.28098826914,   0.0
                                     22.840867954339615,                           1.2121478704816636e-05, -3687.344313491995,     82498.22938641939,   78810.8850729274,   0.0
