galaxies.galaxy.mass.centre.centre_0,galaxies.galaxy.mass.centre.centre_1,galaxies.galaxy.mass.ell_comps.ell_comps_0,galaxies.galaxy.mass.ell_comps.ell_comps_1,galaxies.galaxy.mass.intensity,galaxies.galaxy.mass.effective_radius,galaxies.galaxy.mass.sersic_index,         log_likelihood,           log_prior,          log_posterior,weight
                -0.08133441227164749,                -0.03746598626005534,                       0.14047146713740322,                       0.20040793929637027,          0.000935115387712574,                    27.58997540026593,                2.444405952458333,    -139671.71890005074,  1069.6703265395786,    -138602.04857351116,   0.0
                 0.10789681611904609,                 0.15487042997515513,                      -0.08167786746129092,                       0.05388713448269085,             6782.181522331876,                    17.91508692420562,                2.192416360368312, -1.239142792111681e+16,  0.7166633861823214, -1.239142792111681e+16,   0.0
                -0.05972061489765668,                  0.3120956680706382,                        0.6602020784130849,                      0.030264822307269932,          0.014662463440490239,                    18.79444340960849,               2.2337986725400123,    -107030.03799668331,   66.90752417280657,     -106963.1304725105,   0.0
               -0.059385838162998285,                 -0.3347560212906318,                       0.36296791156108016,                       0.10015747167518618,             19.74337360372645,                   0.7630232044107321,                4.871362882531044,    -140108652.22121146,  0.4769412455507428,     -140108651.7442702,   0.0
                 0.10357628535441744,                -0.37004282029144303,                       0.08736712397200319,                       0.01449789191365632,           0.16457244179362418,                   23.601779024239182,               2.0306606378581433,     -7292802.342640268,   7.424895512766367,     -7292794.917744755,   0.0
                  0.4218579411942847,                 0.04521882474868787,                       0.24695936361859816,                       -0.4283553711533492,          0.005402318978688242,                    4.339437633241418,                 2.83035306108526,    -136068.93222541417,  185.31932112105693,     -135883.6129042931,   0.0
                 0.13934472789755392,                  0.2145556803161399,                        -0.683803891818678,                        0.4024889233456382,            106654.12222024974,                   11.121080506253184,                2.247318500690991,-1.0936218067821161e+18, -2.5622828964934943,-1.0936218067821161e+18,   0.0
                 0.24314354810286107,                -0.47779242869615285,                     -0.009106583070191594,                       0.19651422070778557,             51419.98876142624,                   12.906558535603171,                3.137237737134348, -9.810895444082108e+17,  1.9534917519902033, -9.810895444082108e+17,   0.0
                0.015469390561690343,                 -0.2526324600017109,                       0.12067131705008358,                        0.0066860922509024,             23649.38916967116,                     23.9524011582081,               2.1356102176649543,-2.0414001447371907e+17,  0.8465844231063466,-2.0414001447371907e+17,   0.0
                -0.03320808997545531,                 0.17627843219737588,                      -0.04568415819202937,                     -0.029811529921540278,              592.968340968049,                    29.89933243687683,               3.2122176393862008,     -591683420422107.6,  0.7357002469982244,     -591683420422106.9,   0.0
                 0.23781545963133144,                 0.10801405324574316,                       0.05102588891471344,                      -0.23431301627816975,            10.952044868964467,                   17.250819525791318,                2.914512599416125,     -61457565580.84142,  0.7226315455969098,     -61457565580.11879,   0.0
                -0.13070181957899774,                  0.0654845272804948,                      -0.24715129683869685,                        -0.287775650462408,           0.46206439141754097,                  0.29203950548379876,                4.237293509438963,    -127278.82819988008,  2.0552782732271826,    -127276.77292160685,   0.0
                 0.10808833806292363,                 -0.1765586047905184,                        0.3818682348264162,                       0.17696084255604588,            104044.32258392712,                   27.017081892396007,               2.6437492188812657, -8.366327557955782e+18,-0.17421852843696878, -8.366327557955782e+18,   0.0
               -0.062022624631521854,                  0.1303202027336245,                       0.18223664965211445,                        0.1528291184902135,            0.8432294700172738,                   24.574568653808242,               1.0515164436474804,     -28561616.12523491,  1.5591646892167415,     -28561614.56607022,   0.0
                -0.09648059448042585,                 -0.6610703095253067,                       -0.0536350006433111,                       -0.1584374169126773,        0.00010139489805072468,                   27.910198137536536,                4.582008138876849,    -146389.57673115373,   9865.325082920814,    -136524.25164823292,   0.0
                -0.22521758928105368,                 0.23441073641156715,                        0.3419860673203681,                      -0.18933055242945399,            0.7902508501340516,                    3.352260556569018,                2.149026566483226,     -5794887.917715747,  1.5753777578820272,     -5794886.342337989,   0.0
                  0.2612948139025244,                  0.2964884455898447,                      -0.43295458034142753,                       0.10920368395939604,            0.9310888594347085,                   21.970262233209045,               1.5900578022721483,    -105394612.85676871,  1.4058261167720074,    -105394611.45094259,   0.0
                  0.4981798198539141,                -0.25028383034723745,                      -0.21415981853062668,                   -0.00038211641302160064,              728730.392288105,                   14.000916562659054,               0.8471713287548226, -1.051045113782234e+19,   2.043789974600536, -1.051045113782234e+19,   0.0
                  0.3107668165218219,                  0.5117756563831668,                        0.6468123790680936,                      -0.06360814191793936,             268669.2653109284,                    8.919364711657018,                4.533612893515207, -2.868008491266503e+19, 0.21666750510267577, -2.868008491266503e+19,   0.0
                 0.07510133477419807,                 -0.2859907115693377,                        0.4586372624799501,                       0.14799467676822037,         8.027141441535384e-06,                    25.66976737261798,               2.2334272059336797,    -149657.12630357183,   124577.1161278624,    -25080.010175709423,   0.0
                 0.14393289522921748,               -0.010580482885106672,                       0.15792184197004147,                        0.3969763484531654,            13528.128127049382,                    4.900980457629035,               2.2445887208819535,    -4950092135087607.0, -0.3264789176600887,    -4950092135087607.0,   0.0
                  0.1411980624153521,                -0.27771490068694854,                       0.20605109798282503,                       -0.3041596084512254,             68.29209050828395,                    5.180104490020119,                4.125907197380442,     -315496021570.0774,  0.3758303739802853,    -315496021569.70154,   0.0
                  -0.182667964128884,                  -0.383646213076521,                      -0.04959453090942243,                        0.6071711967193217,            1.3847602652054416,                   24.879227122337625,               1.8241537635795322,     -369917620.5885749, 0.23524063731685063,    -369917620.35333425,   0.0
               -0.047083117327803854,               -0.049654538108000655,                       -0.8139035459816054,                        0.3097377388789504,           0.00422458312673405,                   1.7973203252241876,               3.2580332966832923,    -146875.96509951472,  233.09434258452356,     -146642.8707569302,   0.0
                  0.3885172948184515,                -0.10605809348633577,                       0.17823986327712743,                       0.08722181375723077,            0.6814957246842426,                    4.944258393199262,                4.023366099115544,     -25221142.21860973,  2.7214623447557615,    -25221139.497147385,   0.0
